Quarter,Miles,NumTicketsOrdered,AirlineCompany,PricePerTicket,OriginState,DestState,log_miles,log_price
1,1670.0,1.0,American Airlines (AA),321.5,Ohio,Arizona,7.4205789054108005,5.772997543677674
3,1065.0,1.0,United Airlines (UA),221.0,New Jersey,Florida,6.970730078143525,5.3981627015177525
3,825.0,1.0,Southwest Airlines (WN),139.37,Illinois,Louisiana,6.715383386334681,4.937132267131418
2,1721.0,1.0,Alaska Airlines (AS),87.5,Washington,Illinois,7.450660796211539,4.471638793363569
3,1024.0,1.0,Frontier Airlines (F9),126.5,Washington,Colorado,6.931471805599453,4.840242308167575
2,592.0,11.0,American Airlines (AA),186.0,Texas,Colorado,6.3835066348840055,5.225746673713202
2,472.0,2.0,United Airlines (UA),69.0,Nebraska,Colorado,6.156978985585555,4.23410650459726
4,2601.0,3.0,JetBlue Airways (B6),227.5,Massachusetts,California,7.8636512654486515,5.427150238391005
4,1855.0,2.0,Southwest Airlines (WN),148.5,Illinois,California,7.5256399750415355,5.000584958242754
4,1744.0,6.0,American Airlines (AA),232.5,California,Illinois,7.463936604468925,5.448890225027411
2,1846.0,1.0,American Airlines (AA),107.0,Illinois,California,7.520776415062797,4.672828834461906
1,1127.0,1.0,Delta Air Lines (DL),469.02,Michigan,Florida,7.027314514039777,6.150645411460294
1,1005.0,1.0,Delta Air Lines (DL),226.0,New York,Florida,6.912742820493176,5.420534999272286
3,1242.0,1.0,American Airlines (AA),165.97,Texas,California,7.124478262493424,5.1118070491326275
3,1562.0,2.0,Spirit Airlines (NK),65.0,Texas,Massachusetts,7.3537223303996315,4.174387269895637
3,770.0,3.0,Southwest Airlines (WN),65.0,Colorado,Missouri,6.646390514847729,4.174387269895637
3,1943.0,1.0,United Airlines (UA),352.0,California,Indiana,7.57198844937744,5.863631175598097
2,551.0,7.0,Southwest Airlines (WN),87.5,Florida,Louisiana,6.311734809152915,4.471638793363569
4,1979.0,2.0,Spirit Airlines (NK),72.24,California,Michigan,7.590346945602565,4.27999390910873
4,1198.0,1.0,Allegiant Air (G4),52.0,Michigan,Florida,7.088408778675395,3.9512437185814275
3,1428.0,1.0,Southwest Airlines (WN),165.5,Texas,New York,7.2640301428995295,5.1089711948171175
1,937.0,1.0,Southwest Airlines (WN),123.45,Illinois,Texas,6.842683282238422,4.8158362157911885
4,370.0,14.0,Southwest Airlines (WN),156.0,California,Arizona,5.91350300563827,5.049856007249537
1,1164.0,1.0,Southwest Airlines (WN),143.2,California,Texas,7.059617628291383,4.964242254526545
1,1610.0,2.0,Southwest Airlines (WN),297.0,Colorado,New York,7.383989457978509,5.6937321388027
2,2343.0,1.0,JetBlue Airways (B6),278.0,Florida,California,7.759187438507795,5.627621113690637
2,2016.0,1.0,Southwest Airlines (WN),252.5,Ohio,Washington,7.60887062919126,5.531411248715415
3,946.0,1.0,JetBlue Airways (B6),137.0,Georgia,Massachusetts,6.852242569051878,4.919980925828125
3,867.0,1.0,United Airlines (UA),279.5,Illinois,Massachusetts,6.7650389767805414,5.633002292595154
2,992.0,16.0,JetBlue Airways (B6),328.0,Florida,Pennsylvania,6.899723107284872,5.793013608384144
2,1053.0,1.0,Southwest Airlines (WN),162.0,New York,Florida,6.959398512133975,5.087596335232384
4,2036.0,1.0,United Airlines (UA),313.0,Kentucky,California,7.618742377670413,5.746203190540153
1,862.0,1.0,United Airlines (UA),399.0,Colorado,Texas,6.759255270663693,5.988961416889864
1,352.0,1.0,Delta Air Lines (DL),223.0,Mississippi,Georgia,5.863631175598097,5.407171771460119
4,1532.0,1.0,Delta Air Lines (DL),445.0,Minnesota,California,7.3343293503005365,6.09807428216624
1,488.0,1.0,Delta Air Lines (DL),395.5,Michigan,New Jersey,6.1903154058531475,5.980150787207709
1,1671.0,4.0,American Airlines (AA),186.5,Michigan,Arizona,7.421177528595393,5.2284312390838705
1,1056.0,1.0,JetBlue Airways (B6),109.0,Florida,New York,6.962243464266207,4.6913478822291435
3,1045.0,2.0,American Airlines (AA),176.0,Puerto Rico,Florida,6.951772164398911,5.170483995038151
1,853.0,1.0,American Airlines (AA),123.5,Texas,Wisconsin,6.748759547491679,4.816241156068032
3,432.0,3.0,Delta Air Lines (DL),398.0,Georgia,Ohio,6.068425588244111,5.986452005284438
4,862.0,2.0,United Airlines (UA),184.0,Texas,Colorado,6.759255270663693,5.214935757608986
2,2504.0,1.0,Hawaiian Airlines (HA),543.0,California,Hawaii,7.825644732219989,6.297109319933935
2,763.0,2.0,Southwest Airlines (WN),158.5,Nevada,Oregon,6.637258031284457,5.065754593317335
4,2419.0,2.0,United Airlines (UA),287.0,California,Virginia,7.791109510610028,5.659482215759621
1,1108.0,1.0,Southwest Airlines (WN),235.86,Texas,Florida,7.010311867307229,5.463238408661824
2,1162.0,5.0,Frontier Airlines (F9),102.5,Tennessee,Colorado,7.057897937411856,4.629862798578463
2,1237.0,11.0,JetBlue Airways (B6),156.0,Florida,Massachusetts,7.1204443723924875,5.049856007249537
1,1306.0,4.0,Delta Air Lines (DL),224.0,Minnesota,Florida,7.174724309836376,5.4116460518550396
1,921.0,2.0,Allegiant Air (G4),258.0,Florida,Illinois,6.825460036255307,5.552959584921617
2,946.0,6.0,American Airlines (AA),119.5,Florida,Maryland,6.852242569051878,4.783316371371566
3,199.0,9.0,JetBlue Airways (B6),82.0,Massachusetts,New York,5.293304824724492,4.406719247264253
4,1626.0,2.0,Delta Air Lines (DL),162.0,New York,Colorado,7.3938782901077555,5.087596335232384
1,2087.0,3.0,Southwest Airlines (WN),137.0,California,Florida,7.643482907077201,4.919980925828125
4,599.0,1.0,American Airlines (AA),286.98,Illinois,North Carolina,6.395261598115449,5.659412526920261
1,1383.0,1.0,Southwest Airlines (WN),186.92,Florida,Nebraska,7.232010331664759,5.230680717832225
1,1069.0,1.0,JetBlue Airways (B6),192.37,Florida,New York,6.974478911025045,5.25942060091809
1,762.0,1.0,Delta Air Lines (DL),271.68,Georgia,New York,6.635946555686647,5.604624903122983
1,2409.0,1.0,Hawaiian Airlines (HA),166.0,California,Hawaii,7.786967002614872,5.111987788356544
2,1050.0,2.0,Alaska Airlines (AS),200.0,California,Washington,6.956545443151569,5.298317366548036
1,867.0,2.0,Southwest Airlines (WN),314.0,Washington,Nevada,6.7650389767805414,5.749392985908253
4,1504.0,1.0,United Airlines (UA),676.0,Texas,New Jersey,7.315883504509785,6.516193076042964
3,1218.0,1.0,Southwest Airlines (WN),402.05,New York,Louisiana,7.1049654482698426,5.996576458994158
3,759.0,1.0,American Airlines (AA),119.0,Virginia,Florida,6.63200177739563,4.77912349311153
1,1050.0,1.0,Alaska Airlines (AS),165.0,Washington,California,6.956545443151569,5.10594547390058
1,427.0,1.0,JetBlue Airways (B6),134.0,New York,North Carolina,6.056784013228625,4.897839799950911
1,944.0,4.0,Delta Air Lines (DL),335.0,New York,Florida,6.8501261661455,5.814130531825066
2,471.0,2.0,Southwest Airlines (WN),194.5,Louisiana,Tennessee,6.154858094016418,5.270432163058501
3,2994.0,1.0,Delta Air Lines (DL),483.5,Utah,Hawaii,8.004365564979574,6.181051314893349
2,1476.0,1.0,United Airlines (UA),400.0,Virginia,Colorado,7.297091005160418,5.991464547107982
2,1044.0,2.0,Allegiant Air (G4),140.0,Florida,Michigan,6.950814768442584,4.941642422609304
4,1188.0,1.0,Southwest Airlines (WN),321.0,Florida,Rhode Island,7.080026499922591,5.771441123130016
2,602.0,1.0,United Airlines (UA),297.0,Arizona,Colorado,6.400257445308821,5.6937321388027
4,2306.0,1.0,Alaska Airlines (AS),299.0,Washington,Virginia,7.743269700829004,5.700443573390687
2,2475.0,20.0,JetBlue Airways (B6),138.0,New York,California,7.813995675002791,4.927253685157205
2,1074.0,8.0,JetBlue Airways (B6),156.0,New York,Florida,6.97914527506881,5.049856007249537
4,1506.0,2.0,Southwest Airlines (WN),227.0,Florida,Colorado,7.317212408359839,5.424950017481403
2,332.0,1.0,Delta Air Lines (DL),253.61,Georgia,Tennessee,5.805134968916488,5.535797653962299
4,859.0,2.0,Delta Air Lines (DL),238.5,Georgia,Connecticut,6.755768921984255,5.474369310328396
3,1589.0,1.0,Delta Air Lines (DL),226.5,Minnesota,California,7.370860166536716,5.422744944923089
4,600.0,1.0,Allegiant Air (G4),91.0,Kentucky,Florida,6.396929655216146,4.51085950651685
3,1009.0,2.0,Alaska Airlines (AS),125.0,Oregon,Arizona,6.9167150203536085,4.8283137373023015
3,1379.0,1.0,United Airlines (UA),619.0,Texas,California,7.229113877793302,6.428105272684596
4,937.0,7.0,Southwest Airlines (WN),228.5,Illinois,Texas,6.842683282238422,5.43153621033426
3,338.0,7.0,Southwest Airlines (WN),137.0,Arizona,California,5.823045895483019,4.919980925828125
1,583.0,1.0,Southwest Airlines (WN),91.23,Nevada,Texas,6.368187186350492,4.513383790357383
1,1979.0,1.0,American Airlines (AA),492.0,Virginia,Arizona,7.590346945602565,6.198478716492308
1,304.0,1.0,American Airlines (AA),104.48,California,Arizona,5.717027701406222,4.648995665528121
4,861.0,1.0,Allegiant Air (G4),97.0,Arizona,Montana,6.7580945044277305,4.574710978503383
3,2500.0,1.0,United Airlines (UA),221.0,California,New Jersey,7.824046010856292,5.3981627015177525
1,1635.0,3.0,United Airlines (UA),281.0,Texas,California,7.399398083331354,5.638354669333745
4,370.0,19.0,Southwest Airlines (WN),70.5,California,Arizona,5.91350300563827,4.255612709818223
3,1065.0,5.0,United Airlines (UA),155.0,New Jersey,Florida,6.970730078143525,5.043425116919247
3,1546.0,1.0,Frontier Airlines (F9),398.0,Florida,Colorado,7.343426229147367,5.986452005284438
3,1599.0,1.0,Delta Air Lines (DL),289.0,U.S. Virgin Islands,Georgia,7.377133712833954,5.666426688112432
1,1028.0,2.0,Frontier Airlines (F9),69.0,Florida,New Jersey,6.93537044601511,4.23410650459726
1,223.0,2.0,Southwest Airlines (WN),133.5,California,Nevada,5.407171771460119,4.894101477840304
4,547.0,1.0,Delta Air Lines (DL),320.58,Georgia,Virginia,6.304448802421981,5.770131855197735
1,2677.0,4.0,Hawaiian Airlines (HA),282.0,Hawaii,Washington,7.892452043520352,5.641907070938114
3,1609.0,1.0,Southwest Airlines (WN),238.5,Texas,Massachusetts,7.3833681469923835,5.474369310328396
2,2677.0,1.0,Alaska Airlines (AS),98.0,Washington,Hawaii,7.892452043520352,4.584967478670572
4,834.0,5.0,Delta Air Lines (DL),122.0,California,Oregon,6.726233402358747,4.804021044733257
2,1389.0,1.0,American Airlines (AA),118.5,Texas,New York,7.236339342754344,4.774912960575186
1,1496.0,1.0,American Airlines (AA),202.03,Texas,Pennsylvania,7.310550158534422,5.308416201225451
2,957.0,1.0,Southwest Airlines (WN),268.0,California,Colorado,6.863803391452954,5.5909869805108565
2,1605.0,1.0,Southwest Airlines (WN),311.5,Colorado,New Jersey,7.380879035564116,5.741399338227508
4,1073.0,1.0,JetBlue Airways (B6),204.0,New York,Florida,6.9782137426306985,5.318119993844216
3,1242.0,1.0,American Airlines (AA),172.0,California,Texas,7.124478262493424,5.147494476813453
2,370.0,1.0,American Airlines (AA),113.5,Arizona,California,5.91350300563827,4.7318028369214575
3,612.0,3.0,JetBlue Airways (B6),208.0,Massachusetts,North Carolina,6.416732282512326,5.337538079701318
3,1069.0,5.0,Delta Air Lines (DL),189.0,Colorado,Kentucky,6.974478911025045,5.241747015059643
1,372.0,2.0,Southwest Airlines (WN),57.5,California,California,5.918893854273146,4.051784947803305
1,936.0,2.0,Southwest Airlines (WN),369.0,Maryland,Minnesota,6.841615476477592,5.910796644040527
1,814.0,1.0,Southwest Airlines (WN),208.0,Pennsylvania,Missouri,6.70196036600254,5.337538079701318
1,2537.0,4.0,Alaska Airlines (AS),212.0,Massachusetts,Oregon,7.838737559599282,5.356586274672012
4,1400.0,1.0,United Airlines (UA),558.5,New Jersey,Texas,7.24422751560335,6.3252546185092555
4,1744.0,1.0,American Airlines (AA),441.0,California,Illinois,7.463936604468925,6.089044875446846
4,1984.0,1.0,Spirit Airlines (NK),129.92,Florida,Nevada,7.592870287844818,4.866918876413368
1,882.0,7.0,Frontier Airlines (F9),54.0,Missouri,Florida,6.782192056006791,3.9889840465642745
3,447.0,1.0,United Airlines (UA),205.5,California,California,6.102558594613569,5.32544603393629
4,651.0,1.0,United Airlines (UA),51.54,Arizona,California,6.478509642208569,3.942358205224219
1,950.0,2.0,JetBlue Airways (B6),350.0,Florida,New York,6.856461984594587,5.857933154483459
1,1034.0,2.0,United Airlines (UA),237.0,New Jersey,Florida,6.9411900550683745,5.4680601411351315
3,812.0,1.0,American Airlines (AA),328.0,Kentucky,Texas,6.699500340161678,5.793013608384144
2,921.0,1.0,Allegiant Air (G4),72.0,Illinois,Florida,6.825460036255307,4.276666119016055
3,1235.0,1.0,Southwest Airlines (WN),191.01,Texas,Nevada,7.118826249062078,5.252325782697044
1,2599.0,1.0,Hawaiian Airlines (HA),735.0,Hawaii,U.S. Pacific Trust Territories and Possessions,7.8628820346414905,6.5998704992128365
2,1674.0,1.0,JetBlue Airways (B6),323.0,Puerto Rico,Massachusetts,7.422971251049421,5.777652323222656
2,1491.0,14.0,Southwest Airlines (WN),261.0,Maryland,Colorado,7.307202314764738,5.564520407322694
2,1754.0,1.0,Southwest Airlines (WN),348.0,Colorado,Massachusetts,7.469654172932128,5.8522024797744745
1,763.0,4.0,Southwest Airlines (WN),111.5,Oregon,Nevada,6.637258031284457,4.7140245909001735
4,2434.0,1.0,United Airlines (UA),364.0,New Jersey,California,7.797291273547472,5.8971538676367405
4,1979.0,1.0,Southwest Airlines (WN),199.5,Arizona,Virginia,7.590346945602565,5.295814236329918
3,669.0,1.0,Delta Air Lines (DL),413.5,Wisconsin,Georgia,6.505784060128229,6.024657514463746
4,590.0,1.0,Delta Air Lines (DL),138.23,Utah,California,6.380122536899765,4.928918964476265
4,456.0,1.0,Southwest Airlines (WN),262.0,Michigan,Tennessee,6.1224928095143865,5.568344503761097
2,888.0,1.0,Frontier Airlines (F9),103.5,Illinois,Colorado,6.78897174299217,4.639571612705423
3,594.0,5.0,Southwest Airlines (WN),81.5,Georgia,Michigan,6.386879319362645,4.400603020246817
3,761.0,1.0,American Airlines (AA),478.0,Texas,Indiana,6.634633357861686,6.169610732491456
4,453.0,1.0,Delta Air Lines (DL),124.5,Michigan,Pennsylvania,6.115892125483034,4.824305715904762
1,1107.0,1.0,Alaska Airlines (AS),61.0,Arizona,Washington,7.009408932708637,4.110873864173311
2,528.0,1.0,Delta Air Lines (DL),349.5,Georgia,Ohio,6.269096283706261,5.856503561673865
4,502.0,10.0,Delta Air Lines (DL),175.5,Michigan,New York,6.218600119691729,5.167639042905921
3,1598.0,1.0,JetBlue Airways (B6),255.2,Puerto Rico,New York,7.37650812632622,5.542047551470635
3,373.0,1.0,Allegiant Air (G4),111.0,Florida,Tennessee,5.921578419643816,4.709530201312334
2,580.0,1.0,Southwest Airlines (WN),237.8,New Mexico,Texas,6.363028103540465,5.471429984256681
3,414.0,2.0,Southwest Airlines (WN),212.0,Nevada,California,6.025865973825314,5.356586274672012
1,1750.0,1.0,Southwest Airlines (WN),114.0,California,Illinois,7.4673710669175595,4.736198448394496
2,1097.0,1.0,JetBlue Airways (B6),623.0,Florida,New York,7.00033446027523,6.434546518787453
4,1626.0,3.0,Delta Air Lines (DL),158.0,New York,Colorado,7.3938782901077555,5.062595033026967
2,748.0,7.0,United Airlines (UA),146.0,New Jersey,Tennessee,6.617402977974478,4.983606621708336
1,927.0,17.0,Frontier Airlines (F9),81.0,Florida,Ohio,6.831953565565855,4.394449154672439
4,488.0,1.0,Delta Air Lines (DL),201.0,Michigan,New Jersey,6.1903154058531475,5.303304908059076
2,1080.0,1.0,Delta Air Lines (DL),200.0,Florida,New York,6.984716320118266,5.298317366548036
3,1205.0,1.0,American Airlines (AA),626.0,Texas,California,7.094234845924755,6.439350371100098
4,838.0,1.0,Southwest Airlines (WN),144.0,California,Oregon,6.731018100482083,4.969813299576001
4,2279.0,1.0,American Airlines (AA),347.5,North Carolina,Washington,7.731492029245684,5.850764665004847
4,991.0,1.0,Frontier Airlines (F9),65.5,Oregon,Colorado,6.898714534329988,4.182050142641207
2,1851.0,1.0,Delta Air Lines (DL),370.85,Utah,Virginia,7.523481312573497,5.9157976681825675
1,447.0,5.0,Delta Air Lines (DL),194.0,Ohio,Georgia,6.102558594613569,5.267858159063328
4,1709.0,2.0,United Airlines (UA),286.5,Colorado,Florida,7.443663683115591,5.6577385361547945
1,588.0,5.0,Southwest Airlines (WN),119.5,California,Utah,6.376726947898627,4.783316371371566
4,1774.0,2.0,Alaska Airlines (AS),173.0,Texas,Washington,7.480992162869525,5.153291594497779
3,2342.0,1.0,American Airlines (AA),286.59,Florida,California,7.758760544157663,5.658052622950026
2,1028.0,10.0,JetBlue Airways (B6),146.5,Florida,New York,6.93537044601511,4.987025428457122
1,484.0,1.0,Southwest Airlines (WN),165.0,Tennessee,Texas,6.182084906716632,5.10594547390058
3,600.0,2.0,Allegiant Air (G4),78.0,Oregon,Nevada,6.396929655216146,4.356708826689592
4,2611.0,3.0,Delta Air Lines (DL),454.0,California,Massachusetts,7.8674885686991285,6.118097198041348
4,4962.0,2.0,United Airlines (UA),460.5,Hawaii,New Jersey,8.509564164251746,6.132312855695361
4,873.0,2.0,Spirit Airlines (NK),235.0,Pennsylvania,Florida,6.771935555839602,5.459585514144159
4,399.0,1.0,American Airlines (AA),415.0,Virginia,Massachusetts,5.988961416889864,6.028278520230698
3,3370.0,1.0,United Airlines (UA),411.59,New Jersey,Alaska,8.122668023346407,6.020027708232297
3,448.0,1.0,Southwest Airlines (WN),224.0,Missouri,Minnesota,6.104793232414985,5.4116460518550396
3,907.0,1.0,Southwest Airlines (WN),168.5,Georgia,Minnesota,6.810142450115136,5.126935749792416
4,2457.0,1.0,Hawaiian Airlines (HA),256.18,Hawaii,California,7.806696372521179,5.54588032240299
3,408.0,1.0,Delta Air Lines (DL),189.0,Michigan,Minnesota,6.0112671744041615,5.241747015059643
3,1107.0,2.0,Southwest Airlines (WN),189.16,Arizona,Washington,7.009408932708637,5.242593217775675
3,2586.0,4.0,Alaska Airlines (AS),287.0,New York,California,7.857867559331803,5.659482215759621
4,1126.0,1.0,Allegiant Air (G4),93.0,Iowa,Florida,7.026426808699636,4.532599493153256
4,601.0,1.0,Southwest Airlines (WN),379.0,Arizona,Nevada,6.398594934535208,5.937536205082426
4,447.0,3.0,Delta Air Lines (DL),246.0,Georgia,Ohio,6.102558594613569,5.5053315359323625
3,550.0,1.0,United Airlines (UA),793.0,California,Oregon,6.309918278226516,6.675823221634848
2,948.0,2.0,United Airlines (UA),214.0,Colorado,California,6.854354502255021,5.365976015021851
1,442.0,1.0,Southwest Airlines (WN),230.0,Tennessee,North Carolina,6.091309882077698,5.438079308923196
3,1156.0,1.0,Delta Air Lines (DL),218.5,Utah,Missouri,7.052721049232323,5.3867860145356445
1,332.0,2.0,Delta Air Lines (DL),479.0,Georgia,Tennessee,5.805134968916488,6.171700597410915
4,1569.0,2.0,United Airlines (UA),172.0,New Jersey,Texas,7.358193752733032,5.147494476813453
1,1069.0,5.0,JetBlue Airways (B6),172.0,New York,Florida,6.974478911025045,5.147494476813453
3,1521.0,1.0,American Airlines (AA),349.0,New York,Texas,7.327123292259293,5.855071922202427
2,369.0,13.0,JetBlue Airways (B6),161.0,Massachusetts,Maryland,5.910796644040527,5.081404364984463
2,937.0,1.0,JetBlue Airways (B6),150.7,Florida,New Jersey,6.842683282238422,5.01529110563245
1,850.0,5.0,Southwest Airlines (WN),93.0,Colorado,California,6.745236349484363,4.532599493153256
3,2475.0,2.0,Delta Air Lines (DL),145.0,California,New York,7.813995675002791,4.976733742420574
2,2086.0,1.0,Alaska Airlines (AS),272.0,Louisiana,Washington,7.643003635560718,5.605802066295998
3,1357.0,2.0,Southwest Airlines (WN),178.0,Texas,California,7.213031659834869,5.181783550292085
3,944.0,2.0,JetBlue Airways (B6),183.0,Florida,New York,6.8501261661455,5.209486152841421
4,680.0,1.0,United Airlines (UA),109.5,Colorado,Minnesota,6.522092798170152,4.695924549256556
3,957.0,16.0,Southwest Airlines (WN),177.0,Texas,Florida,6.863803391452954,5.176149732573829
3,423.0,2.0,Southwest Airlines (WN),200.37,Texas,Tennessee,6.0473721790462776,5.300165657405654
3,862.0,1.0,Delta Air Lines (DL),346.0,Colorado,California,6.759255270663693,5.846438775057725
2,1065.0,1.0,Spirit Airlines (NK),171.5,Florida,New Jersey,6.970730078143525,5.144583266605995
1,1590.0,1.0,Southwest Airlines (WN),150.77,Indiana,Nevada,7.371489295214277,5.0157554967908276
3,996.0,1.0,Allegiant Air (G4),121.5,New York,Florida,6.903747257584598,4.799914262780603
3,719.0,1.0,United Airlines (UA),958.0,Illinois,New Jersey,6.577861357721047,6.86484777797086
3,395.0,2.0,JetBlue Airways (B6),133.0,New York,Massachusetts,5.978885764901122,4.890349128221754
3,1184.0,1.0,Southwest Airlines (WN),103.5,Texas,Virginia,7.076653815443951,4.639571612705423
3,1452.0,4.0,Southwest Airlines (WN),191.0,Colorado,Virginia,7.280697195384741,5.25227342804663
4,762.0,5.0,Delta Air Lines (DL),432.5,Georgia,New York,6.635946555686647,6.069582326371934
3,1927.0,1.0,Delta Air Lines (DL),297.11,Utah,Pennsylvania,7.563719668414366,5.694102440602895
3,2378.0,1.0,Alaska Airlines (AS),230.5,Washington,Pennsylvania,7.774015077250727,5.440250862436703
3,1133.0,1.0,JetBlue Airways (B6),263.0,Connecticut,Florida,7.0326242610280065,5.572154032177765
3,405.0,1.0,Southwest Airlines (WN),248.5,Illinois,Missouri,6.003887067106539,5.5154428455366835
3,764.0,1.0,Allegiant Air (G4),124.5,Washington,California,6.638567789166521,4.824305715904762
3,937.0,1.0,United Airlines (UA),197.5,New Jersey,Florida,6.842683282238422,5.285738584341177
4,2565.0,3.0,United Airlines (UA),432.0,New Jersey,California,7.84971375760487,6.068425588244111
1,992.0,1.0,American Airlines (AA),197.67,Florida,Pennsylvania,6.899723107284872,5.286598973593838
2,239.0,1.0,Southwest Airlines (WN),203.5,Texas,Texas,5.476463551931511,5.31566600488265
4,587.0,1.0,Southwest Airlines (WN),283.5,Maryland,Tennessee,6.375024819828097,5.647212123167807
3,802.0,1.0,United Airlines (UA),112.5,Illinois,Texas,6.687108607866515,4.722953221644475
4,516.0,1.0,Delta Air Lines (DL),272.5,Virginia,Georgia,6.246106765481563,5.607638614103299
1,630.0,13.0,Alaska Airlines (AS),98.0,Oregon,Utah,6.4457198193855785,4.584967478670572
1,700.0,3.0,American Airlines (AA),168.0,North Carolina,Florida,6.551080335043404,5.123963979403259
1,861.0,1.0,American Airlines (AA),169.0,Florida,Pennsylvania,6.7580945044277305,5.1298987149230735
1,432.0,19.0,Delta Air Lines (DL),274.0,Georgia,Indiana,6.068425588244111,5.6131281063880705
4,325.0,1.0,Southwest Airlines (WN),173.0,California,California,5.783825182329737,5.153291594497779
3,1123.0,1.0,Southwest Airlines (WN),223.9,Tennessee,New Mexico,7.023758954738443,5.411199523604709
1,1846.0,1.0,Virgin America (VX),136.0,California,Illinois,7.520776415062797,4.912654885736052
2,731.0,1.0,Delta Air Lines (DL),617.0,Texas,Georgia,6.594413459749778,6.424869023905388
3,1620.0,1.0,United Airlines (UA),517.5,Colorado,New York,7.3901814282264295,6.249009525139524
4,588.0,1.0,Delta Air Lines (DL),224.5,Utah,California,6.376726947898627,5.413875707182309
1,949.0,7.0,Southwest Airlines (WN),184.5,Missouri,Virginia,6.855408798609928,5.217649463480582
2,1124.0,1.0,Delta Air Lines (DL),385.5,New York,Florida,7.024649030453636,5.954541193003384
4,547.0,1.0,Delta Air Lines (DL),410.0,Georgia,Virginia,6.304448802421981,6.016157159698354
2,783.0,1.0,American Airlines (AA),189.5,Illinois,Connecticut,6.663132695990803,5.244389024522481
3,280.0,1.0,JetBlue Airways (B6),204.5,Massachusetts,Pennsylvania,5.634789603169249,5.320567975482857
1,2084.0,1.0,Delta Air Lines (DL),193.5,Utah,Florida,7.642044402873258,5.2652775124698366
4,1979.0,1.0,Delta Air Lines (DL),424.97,California,Michigan,7.590346945602565,6.052018578197656
1,978.0,1.0,Alaska Airlines (AS),196.0,California,Washington,6.885509670034818,5.278114659230517
4,1910.0,2.0,Southwest Airlines (WN),192.0,Nevada,Pennsylvania,7.554858521040676,5.2574953720277815
4,930.0,3.0,Southwest Airlines (WN),191.5,Florida,Ohio,6.835184586147301,5.2548878086207
4,667.0,1.0,Allegiant Air (G4),140.0,Florida,Kentucky,6.502790045915623,4.941642422609304
1,325.0,1.0,Southwest Airlines (WN),205.0,California,Arizona,5.783825182329737,5.3230099791384085
4,569.0,5.0,Alaska Airlines (AS),70.0,California,Oregon,6.343880434126331,4.248495242049359
3,1549.0,2.0,Frontier Airlines (F9),137.0,Iowa,California,7.3453648404168685,4.919980925828125
3,930.0,7.0,Southwest Airlines (WN),108.5,Ohio,Florida,6.835184586147301,4.686750172980514
4,1849.0,1.0,American Airlines (AA),252.66,Florida,Arizona,7.522400231387125,5.532044711401891
1,406.0,17.0,Spirit Airlines (NK),63.0,Georgia,Florida,6.0063531596017325,4.143134726391533
4,818.0,1.0,Southwest Airlines (WN),223.0,Indiana,Massachusetts,6.706862336602747,5.407171771460119
2,2172.0,2.0,Delta Air Lines (DL),264.5,Oregon,Georgia,7.683403681053826,5.577841251298354
3,1195.0,1.0,United Airlines (UA),166.5,Texas,Utah,7.085901464365611,5.1149953094204985
1,764.0,1.0,Southwest Airlines (WN),188.0,New York,Tennessee,6.638567789166521,5.236441962829949
2,1605.0,1.0,Southwest Airlines (WN),218.0,New Jersey,Colorado,7.380879035564116,5.384495062789089
4,2611.0,2.0,United Airlines (UA),248.0,California,Massachusetts,7.8674885686991285,5.5134287461649825
4,1072.0,1.0,Allegiant Air (G4),229.0,Arizona,South Dakota,6.977281341630747,5.43372200355424
3,2704.0,1.0,Delta Air Lines (DL),458.0,Massachusetts,California,7.902487437162855,6.126869184114185
4,2446.0,1.0,JetBlue Airways (B6),340.5,California,New York,7.802209316247118,5.830415125589567
2,651.0,1.0,Southwest Airlines (WN),186.0,Texas,Colorado,6.478509642208569,5.225746673713202
1,1145.0,1.0,American Airlines (AA),369.0,Florida,Michigan,7.0431599159883405,5.910796644040527
4,811.0,11.0,United Airlines (UA),203.5,Florida,Virginia,6.698268054115413,5.31566600488265
3,2288.0,4.0,United Airlines (UA),271.0,Virginia,California,7.7354333524996886,5.602118820879701
2,738.0,1.0,Southwest Airlines (WN),137.0,Wisconsin,New York,6.6039438246004725,4.919980925828125
3,1927.0,2.0,Delta Air Lines (DL),211.0,Utah,Pennsylvania,7.563719668414366,5.351858133476067
3,1249.0,3.0,JetBlue Airways (B6),143.0,Massachusetts,Florida,7.130098510125578,4.962844630259907
1,2400.0,1.0,Virgin America (VX),253.5,California,North Carolina,7.783224016336037,5.535363823031238
2,966.0,1.0,Spirit Airlines (NK),60.0,Florida,Texas,6.873163834212518,4.0943445622221
1,2565.0,1.0,United Airlines (UA),314.93,New Jersey,California,7.84971375760487,5.7523503919083945
4,1040.0,8.0,Allegiant Air (G4),54.0,Michigan,Florida,6.946975992135418,3.9889840465642745
2,1660.0,1.0,American Airlines (AA),229.54,Texas,Washington,7.414572881350589,5.436077306252522
4,447.0,1.0,Southwest Airlines (WN),98.0,California,California,6.102558594613569,4.584967478670572
3,1747.0,1.0,Delta Air Lines (DL),445.5,Georgia,Nevada,7.465655310134056,6.099197246910864
2,1504.0,1.0,United Airlines (UA),334.0,Texas,New Jersey,7.315883504509785,5.811140992976701
2,802.0,1.0,United Airlines (UA),233.5,Texas,Illinois,6.687108607866515,5.453182077108952
4,2569.0,1.0,JetBlue Airways (B6),227.0,New York,California,7.851271997109883,5.424950017481403
